sentimen,tweet,tweet_preprocess
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",prabowo indonesia harga bangsa asing berita hoax buat kuasa ya rockygerung https twitter com mediaindonesia status s
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",batu langka tasbih jokowi hadiah habib luthfi harga mercy http dlvr it rpvzv
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",era jokowi ekonomi indonesia pic twitter com wythnxstp
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",sumatera selatan asi games dampak pd ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",negara ngutang bngun infrastruktur udah dipake masyarakat masyarakat ngeluh negara ngutang negara ngutang utang bayar kalo negara dapet hasil hasil negara ya pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",yg bisikin jokowi cm mikirin putar duit golong te entu e spo s dr sekian tentu pe umbuhan ekonomi indonesia fundamental yg prabowo dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,tenang msih ngoceh aja ttp jokowi harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",kerjasa ekonomi bilateral multilateral doa tps dengar suara hati
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",iya bener aa mantap pilih pimpin yg bs solusi jokowi yg salah pimpin sbyudhoyono dismash sm mas bowo koalisi klau mengantam tmn koalisi yg plg pilih pimpin yg rajin ibadah wajib ngaji jumat
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,prabowo sandi sepakat ambil gaji negara susah https www goaceh co a ikel serbaserbi prabowosandi sepakat ambil gaji negara susah utm source dlvr it utm medium twitter
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",pilih pimpin yg udh capai capai ekonomi perintah jokowi coblos yuk kerja https bit ly ogymxt
